word,frequency
killing,15.0
posts,15.0
rawat,15.0
box,15.0
putting,15.0
v,15.0
magical,15.0
misery,15.0
abundance,15.0
accept,15.0
amy,15.0
dearest,15.0
relief,15.0
created,15.0
value,15.0
whether,15.0
themselves,15.0
pay,15.0
wouldn't,15.0
thy,15.0
drive,15.0
vs,15.0
alot,15.0
member,15.0
married,15.0
sick,15.0
stock,15.0
eye,15.0
angry,15.0
@ori_debig_beats,15.0
release,15.0
tiny,15.0
stopped,15.0
universe,15.0
100,15.0
hahaha,15.0
version,15.0
tough,15.0
adorable,15.0
@rakulpreet,15.0
street,15.0
re,15.0
wit,15.0
question,15.0
dude,15.0
shed,15.0
magic,15.0
incredibly,15.0
premrawat,15.0
@run_deep75,14.0
goodness,14.0
@edionseri_joy,14.0
exist,14.0
brave,14.0
overwhelming,14.0
seem,14.0
mess,14.0
including,14.0
@joshuelbautista,14.0
several,14.0
challenge,14.0
@yash_dasgupta,14.0
rather,14.0
expect,14.0
afternoon,14.0
fake,14.0
touch,14.0
recently,14.0
local,14.0
mum,14.0
coffee,14.0
yoongi,14.0
derive,14.0
lo,14.0
vibes,14.0
channel,14.0
wisdom,14.0
yard,14.0
dynamite,14.0
sex,14.0
interesting,14.0
cover,14.0
creating,14.0
8,14.0
en,14.0
cup,14.0
colour,14.0
chance,14.0
afford,14.0
worst,14.0
utter,14.0
mary,14.0
girlfriend,14.0
@a_l_a_n__g,14.0
company,14.0
draw,14.0
earth,14.0
@cnn,14.0
realized,14.0
halloween,14.0
@blackishmonday,14.0
matters,14.0
explain,14.0
yellow,14.0
gay,14.0
beyond,14.0
natural,14.0
dogs,14.0
alert,14.0
performances,14.0
achievement,14.0
negative,14.0
helps,14.0
interview,14.0
became,14.0
woke,14.0
enthusiasm,14.0
finish,14.0
dm,14.0
prayers,14.0
vibe,13.0
brand,13.0
ni,13.0
thankyou,13.0
chocolate,13.0
colors,13.0
sort,13.0
situation,13.0
seven,13.0
competition,13.0
hair,13.0
burn,13.0
