,word,frequency
1425,someone,229.0
1426,back,224.0
1427,here,223.0
1428,thing,222.0
1429,bc,219.0
1430,gonna,218.0
1431,us,218.0
1432,our,215.0
1433,watch,214.0
1434,last,213.0
1435,were,212.0
1436,oh,209.0
1437,need,207.0
1438,same,207.0
1439,feeling,207.0
1440,again,205.0
1441,that's,203.0
1442,way,194.0
1443,look,194.0
1444,many,193.0
1445,fucking,191.0
1446,actually,191.0
1447,hate,188.0
1448,lol,186.0
1449,hours,185.0
1450,did,185.0
1451,right,183.0
1452,song,181.0
1453,miss,180.0
1454,making,176.0
1455,after,174.0
1456,bad,172.0
1457,didnt,167.0
1458,-,166.0
1459,friends,166.0
1460,true,165.0
1461,sorry,165.0
1462,can't,165.0
1463,ever,164.0
1464,things,164.0
1465,every,164.0
1466,such,164.0
1467,ive,163.0
1468,well,162.0
1469,yall,155.0
1470,little,151.0
1471,than,151.0
1472,getting,151.0
1473,night,150.0
1474,wanna,150.0
1475,should,149.0
1476,yeah,149.0
1477,something,148.0
1478,first,147.0
1479,lot,147.0
1480,fuck,146.0
