word,frequency
mo,12.0
sticks,12.0
ba,12.0
assume,12.0
youll,12.0
series,12.0
except,12.0
80s,12.0
trumpers,12.0
style,12.0
coffee,12.0
@kamalaharris,12.0
trouble,12.0
daddy,12.0
messages,12.0
legit,12.0
sleeping,12.0
five,12.0
lo,12.0
noises,12.0
@cnn,12.0
chose,12.0
spirit,12.0
insane,12.0
sh,12.0
service,12.0
trans,12.0
reach,12.0
democrat,12.0
mention,12.0
youd,12.0
holding,12.0
burr's,12.0
breaking,12.0
zero,11.0
namgi,11.0
showed,11.0
role,11.0
locked,11.0
100,11.0
caught,11.0
disrespectful,11.0
heres,11.0
rlly,11.0
boyfriend,11.0
betrayed,11.0
@realcandaceo,11.0
platform,11.0
sis,11.0
@segalink,11.0
vibe,11.0
future,11.0
blaming,11.0
moving,11.0
exhausted,11.0
@paulbranditv,11.0
someones,11.0
decent,11.0
patience,11.0
october,11.0
ka,11.0
ridiculous,11.0
within,11.0
switch,11.0
near,11.0
dying,11.0
mak,11.0
national,11.0
earth,11.0
personality,11.0
exist,11.0
@savvyrinu,11.0
silly,11.0
create,11.0
ajeeb,11.0
posted,11.0
busy,11.0
third,11.0
books,11.0
numbers,11.0
complete,11.0
@sapphire896,11.0
eu,11.0
possibly,11.0
de,11.0
desperate,11.0
obvious,11.0
btw,11.0
dark,11.0
liked,11.0
fix,11.0
march,11.0
sha,11.0
wi,11.0
violently,11.0
release,11.0
idiots,11.0
hav,11.0
project,11.0
con,11.0
arguing,11.0
bothered,11.0
whitepower,11.0
kick,11.0
final,11.0
skin,11.0
sun,11.0
demand,11.0
typical,11.0
13,11.0
space,11.0
mf,11.0
jennie,11.0
shouting,11.0
steal,11.0
@,11.0
fly,11.0
four,11.0
david,11.0
yours,11.0
monkey,11.0
wil,11.0
reform,11.0
humans,11.0
match,11.0
expression,11.0
fellow,11.0
@eleven_films,11.0
insult,11.0
talked,11.0
ice,11.0
audacity,11.0
songs,11.0
una,11.0
raised,11.0
patient,11.0
obama,11.0
complaining,11.0
eifelgp,11.0
impact,11.0
memes,11.0
jk,11.0
mentions,11.0
people's,11.0
female,11.0
loss,11.0
hoseok,11.0
omo,11.0
critical,11.0
per,11.0
choice,11.0
ralph,11.0
triggered,11.0
note,11.0
chris,11.0
list,11.0
farmers,11.0
build,11.0
nasty,11.0
someone's,11.0
furious,11.0
brothers,11.0
based,11.0
bu,11.0
soldiers,11.0
78th,11.0
visit,11.0
harm,11.0
sm,11.0
happybirthdayamitabhbachchan,11.0
angered,11.0
ffs,11.0
